nome;nome_en;categoria;slug;immagine;immagine_thumbnail;video;popolarita
Distensioni Spalle da Seduto alla Macchina;Lever Seated Shoulder Press;Spalle;distensioni-spalle-da-seduto-alla-macchina;https://apilyfta.com/static/GymvisualPNG/14541101-Lever-Seated-Shoulder-Press_Shoulders.png;https://apilyfta.com/static/GymvisualPNG/14541101-Lever-Seated-Shoulder-Press_Shoulders_small.png;https://apilyfta.com/static/GymvisualMP4/14541201-Lever-Seated-Shoulder-Press_Shoulders_.mp4;235542
Squat Completo;Full Squat;Quadricipiti;squat-completo;https://apilyfta.com/static/GymvisualPNG/00431101-Barbell-Full-Squat_Thighs.png;https://apilyfta.com/static/GymvisualPNG/00431101-Barbell-Full-Squat_Thighs_small.png;https://apilyfta.com/static/GymvisualMP4/00431201-Barbell-Full-Squat_Thighs.mp4;228366
Croci in Piedi ai Cavi;Cable Standing Fly;Petto;croci-in-piedi-ai-cavi;https://apilyfta.com/static/GymvisualPNG/02271101-Cable-Standing-Fly_Chest-FIX.png;https://apilyfta.com/static/GymvisualPNG/02271101-Cable-Standing-Fly_Chest-FIX_small.png;https://apilyfta.com/static/GymvisualMP4/02271201-Cable-Standing-Fly_Chest.mp4;222974
Trazioni alla Sbarra;Pull-up;Schiena;trazioni-alla-sbarra;https://apilyfta.com/static/GymvisualPNG/06521101-Pull-up_Back.png;https://apilyfta.com/static/GymvisualPNG/06521101-Pull-up_Back_small.png;https://apilyfta.com/static/GymvisualMP4/06521201-Pull-up_Back-FIX_.mp4;222752
Croci Inverse da Seduto alla Macchina;Lever Seated Reverse Fly;Spalle;croci-inverse-da-seduto-alla-macchina;https://apilyfta.com/static/GymvisualPNG/06021101-Lever-Seated-Reverse-Fly_Shoulders.png;https://apilyfta.com/static/GymvisualPNG/06021101-Lever-Seated-Reverse-Fly_Shoulders_small.png;https://apilyfta.com/static/GymvisualMP4/06021201-Lever-Seated-Reverse-Fly_Shoulders.mp4;210872
Alzate Laterali un Braccio ai Cavi;Cable One Arm Lateral Raise;Spalle;alzate-laterali-un-braccio-ai-cavi;https://apilyfta.com/static/GymvisualPNG/01921101-Cable-One-Arm-Lateral-Raise_Shoulders.png;https://apilyfta.com/static/GymvisualPNG/01921101-Cable-One-Arm-Lateral-Raise_Shoulders_small.png;https://apilyfta.com/static/GymvisualMP4/01921201-Cable-One-Arm-Lateral-Raise_Shoulders.mp4;207565
Estensioni Tricipiti Sopra la Testa;Overhead Triceps Extension;Tricipiti;estensioni-tricipiti-sopra-la-testa;https://apilyfta.com/static/GymvisualPNG/01941101-Cable-Overhead-Triceps-Extension-(rope-attachment)_Upper-Arms.png;https://apilyfta.com/static/GymvisualPNG/01941101-Cable-Overhead-Triceps-Extension-(rope-attachment)_Upper-Arms_small.png;https://apilyfta.com/static/GymvisualMP4/01941201-Cable-Overhead-Triceps-Extension-(rope-attachment)_Upper-Arms.mp4;196128
Curl Alternato;Alternate Biceps Curl;Bicipiti;curl-alternato;https://apilyfta.com/static/GymvisualPNG/02851101-Dumbbell-Alternate-Biceps-Curl_Upper-Arms-AFIX.png;https://apilyfta.com/static/GymvisualPNG/02851101-Dumbbell-Alternate-Biceps-Curl_Upper-Arms-AFIX_small.png;https://apilyfta.com/static/GymvisualMP4/02851201-Dumbbell-Alternate-Biceps-Curl_Upper-Arms-FIX_.mp4;195894
Curl su Panca Inclinata con Manubri;Dumbbell Incline Curl ;Bicipiti;curl-su-panca-inclinata-con-manubri;https://apilyfta.com/static/GymvisualPNG/03171101-Dumbbell-Incline-Curl-II_Upper-Arms.png;https://apilyfta.com/static/GymvisualPNG/03171101-Dumbbell-Incline-Curl-II_Upper-Arms_small.png;https://apilyfta.com/static/GymvisualMP4/03171201-Dumbbell-Incline-Curl-II_Upper-Arms.mp4;186578
Lat Machine Presa Larga ai Cavi;Cable Wide-Grip Lat Pulldown ;Schiena;lat-machine-presa-larga-ai-cavi;https://apilyfta.com/static/GymvisualPNG/22911101-Cable-Wide-Grip-Lat-Pulldown-(female)_Back.png;https://apilyfta.com/static/GymvisualPNG/22911101-Cable-Wide-Grip-Lat-Pulldown-(female)_Back_small.png;https://apilyfta.com/static/GymvisualMP4/22911201-Cable-Wide-Grip-Lat-Pulldown-(female)_Back.mp4;182222
Piegamenti;Push-up;Petto;piegamenti;https://apilyfta.com/static/GymvisualPNG/06621101-Push-up-m_Chest-FIX.png;https://apilyfta.com/static/GymvisualPNG/06621101-Push-up-m_Chest-FIX_small.png;https://apilyfta.com/static/GymvisualMP4/06621201-Push-up-m_Chest.mp4;172449
Rematore con Busto Flesso;Bent Over Row;Schiena;rematore-con-busto-flesso;https://apilyfta.com/static/GymvisualPNG/00271101-Barbell-Bent-Over-Row_Back-FIX.png;https://apilyfta.com/static/GymvisualPNG/00271101-Barbell-Bent-Over-Row_Back-FIX_small.png;https://apilyfta.com/static/GymvisualMP4/00271201-Barbell-Bent-Over-Row_Back_.mp4;160014
Curl alla Panca Scott alla Macchina;Lever Preacher Curl;Bicipiti;curl-alla-panca-scott-alla-macchina;https://apilyfta.com/static/GymvisualPNG/05921101-Lever-Preacher-Curl_Upper-Arms.png;https://apilyfta.com/static/GymvisualPNG/05921101-Lever-Preacher-Curl_Upper-Arms_small.png;https://apilyfta.com/static/GymvisualMP4/05921201-Lever-Preacher-Curl_Upper-Arms-FIX_.mp4;156387
Curl con Bilanciere;Barbell Curl;Bicipiti;curl-con-bilanciere;https://apilyfta.com/static/GymvisualPNG/00311101-Barbell-Curl_Upper-Arms-FIX.png;https://apilyfta.com/static/GymvisualPNG/00311101-Barbell-Curl_Upper-Arms-FIX_small.png;https://apilyfta.com/static/GymvisualMP4/00311201-Barbell-Curl_Upper-Arms_without-weight.mp4;155789
Curl con Bilanciere EZ;EZ Barbell Curl;Bicipiti;curl-con-bilanciere-ez;https://apilyfta.com/static/GymvisualPNG/04471101-EZ-Barbell-Curl_Upper-Arms.png;https://apilyfta.com/static/GymvisualPNG/04471101-EZ-Barbell-Curl_Upper-Arms_small.png;https://apilyfta.com/static/GymvisualMP4/04471201-EZ-Barbell-Curl_Upper-Arms.mp4;154861
Panca Inclinata alla Smith;Smith Incline Bench Press;Petto;panca-inclinata-alla-smith;https://apilyfta.com/static/GymvisualPNG/07571101-Smith-Incline-Bench-Press_Chest-FIX.png;https://apilyfta.com/static/GymvisualPNG/07571101-Smith-Incline-Bench-Press_Chest-FIX_small.png;https://apilyfta.com/static/GymvisualMP4/07571201-Smith-Incline-Bench-Press_Chest-FIX_.mp4;153508
Panca Inclinata;Incline Bench Press;Petto;panca-inclinata;https://apilyfta.com/static/GymvisualPNG/00471101-Barbell-Incline-Bench-Press_Chest.png;https://apilyfta.com/static/GymvisualPNG/00471101-Barbell-Incline-Bench-Press_Chest_small.png;https://apilyfta.com/static/GymvisualMP4/00471201-Barbell-Incline-Bench-Press_Chest-FIX2_.mp4;149602
Chest Press alla Macchina;Lever Chest Press;Petto;chest-press-alla-macchina;https://apilyfta.com/static/GymvisualPNG/05761101-Lever-Chest-Press-(plate-loaded)_Chest.png;https://apilyfta.com/static/GymvisualPNG/05761101-Lever-Chest-Press-(plate-loaded)_Chest_small.png;https://apilyfta.com/static/GymvisualMP4/05761201-Lever-Chest-Press-(plate-loaded)_Chest-FIX_.mp4;142004
Pulldown in Piedi ai Cavi;Cable Standing Lat Pushdown ;Schiena;pulldown-in-piedi-ai-cavi;https://apilyfta.com/static/GymvisualPNG/12291101-Cable-Standing-Lat-Pushdown-(rope-equipment)_Back.png;https://apilyfta.com/static/GymvisualPNG/12291101-Cable-Standing-Lat-Pushdown-(rope-equipment)_Back_small.png;https://apilyfta.com/static/GymvisualMP4/12291201-Cable-Standing-Lat-Pushdown-(rope-equipment)_Back.mp4;136535
Chest Press alla Macchina;Lever Chest Press;Petto;chest-press-alla-macchina;https://apilyfta.com/static/GymvisualPNG/05771101-Lever-Chest-Press_Chest.png;https://apilyfta.com/static/GymvisualPNG/05771101-Lever-Chest-Press_Chest_small.png;https://apilyfta.com/static/GymvisualMP4/05771201-Lever-Chest-Press_Chest.mp4;134658
Lat Machine ai Cavi;Cable Lateral Pulldown with V-bar;Schiena;lat-machine-ai-cavi;https://apilyfta.com/static/GymvisualPNG/26161101-Cable-Lateral-Pulldown-with-V-bar_Back.png;https://apilyfta.com/static/GymvisualPNG/26161101-Cable-Lateral-Pulldown-with-V-bar_Back_small.png;https://apilyfta.com/static/GymvisualMP4/26161201-Cable-Lateral-Pulldown-with-V-bar_Back_.mp4;134204
French Press / Skull Crusher con Bilanciere;Barbell Lying Triceps Extension Skull Crusher;Tricipiti;french-press-skull-crusher-con-bilanciere;https://apilyfta.com/static/GymvisualPNG/00601101-Barbell-Lying-Triceps-Extension-Skull-Crusher_Triceps-SFIX.png;https://apilyfta.com/static/GymvisualPNG/00601101-Barbell-Lying-Triceps-Extension-Skull-Crusher_Triceps-SFIX_small.png;https://apilyfta.com/static/GymvisualMP4/00601201-Barbell-Lying-Triceps-Extension-Skull-Crusher_Upper-Arms.mp4;130073
Pulley Basso alla Macchina;Lever Seated Row;Schiena;pulley-basso-alla-macchina;https://apilyfta.com/static/GymvisualPNG/13501101-Lever-Seated-Row_Back.png;https://apilyfta.com/static/GymvisualPNG/13501101-Lever-Seated-Row_Back_small.png;https://apilyfta.com/static/GymvisualMP4/13501201-Lever-Seated-Row_Back.mp4;129607
Leg Press Larga 45° alla Pressa;Sled 45° Leg Wide Press;Quadricipiti;leg-press-larga-45-alla-pressa;https://apilyfta.com/static/GymvisualPNG/07401101-Sled-45-Leg-Wide-Press_Thighs.png;https://apilyfta.com/static/GymvisualPNG/07401101-Sled-45-Leg-Wide-Press_Thighs_small.png;https://apilyfta.com/static/GymvisualMP4/07401201-Sled-45-Leg-Wide-Press_Thighs-FIX_.mp4;127934
Curl Bicipiti;Biceps Curl;Bicipiti;curl-bicipiti;https://apilyfta.com/static/GymvisualPNG/16071101-Cable-Biceps-Curl-(SZ-bar)_Upper-arms.png;https://apilyfta.com/static/GymvisualPNG/16071101-Cable-Biceps-Curl-(SZ-bar)_Upper-arms_small.png;https://apilyfta.com/static/GymvisualMP4/16071201-Cable-Biceps-Curl-(SZ-bar)_Upper-arms.mp4;126615
Calf Raise in Piedi alla Macchina;Lever Standing Calf Raise;Polpacci;calf-raise-in-piedi-alla-macchina;https://apilyfta.com/static/GymvisualPNG/06051101-Lever-Standing-Calf-Raise_Calf.png;https://apilyfta.com/static/GymvisualPNG/06051101-Lever-Standing-Calf-Raise_Calf_small.png;https://apilyfta.com/static/GymvisualMP4/06051201-Lever-Standing-Calf-Raise_Calves.mp4;122694
Scrollate;Shrug;Schiena;scrollate;https://apilyfta.com/static/GymvisualPNG/04061101-Dumbbell-Shrug_Back-FIX.png;https://apilyfta.com/static/GymvisualPNG/04061101-Dumbbell-Shrug_Back-FIX_small.png;https://apilyfta.com/static/GymvisualMP4/04061201-Dumbbell-Shrug_Back.mp4;121605
Curl Bicipiti;Biceps Curl;Bicipiti;curl-bicipiti;https://apilyfta.com/static/GymvisualPNG/02941101-Dumbbell-Biceps-Curl_Upper-Arms.png;https://apilyfta.com/static/GymvisualPNG/02941101-Dumbbell-Biceps-Curl_Upper-Arms_small.png;https://apilyfta.com/static/GymvisualMP4/02941201-Dumbbell-Biceps-Curl_Upper-Arms.mp4;121020
Calf Raise da Seduto alla Macchina;Lever Seated Calf Raise;Polpacci;calf-raise-da-seduto-alla-macchina;https://apilyfta.com/static/GymvisualPNG/05941101-Lever-Seated-Calf-Raise-(plate-loaded)_Calf.png;https://apilyfta.com/static/GymvisualPNG/05941101-Lever-Seated-Calf-Raise-(plate-loaded)_Calf_small.png;https://apilyfta.com/static/GymvisualMP4/05941201-Lever-Seated-Calf-Raise-(plate-loaded).mp4;120855
Curl alla Panca Scott;Preacher Curl;Bicipiti;curl-alla-panca-scott;https://apilyfta.com/static/GymvisualPNG/00701101-Barbell-Preacher-Curl_Upper-Arms-AFIX.png;https://apilyfta.com/static/GymvisualPNG/00701101-Barbell-Preacher-Curl_Upper-Arms-AFIX_small.png;https://apilyfta.com/static/GymvisualMP4/00701201-Barbell-Preacher-Curl_Upper-Arms.mp4;120285
Rematore T-Bar Prono alla Macchina;Lever Lying T-bar Row;Schiena;rematore-t-bar-prono-alla-macchina;https://apilyfta.com/static/GymvisualPNG/11941101-Lever-Lying-T-bar-Row_Back.png;https://apilyfta.com/static/GymvisualPNG/11941101-Lever-Lying-T-bar-Row_Back_small.png;https://apilyfta.com/static/GymvisualMP4/11941201-Lever-Lying-T-bar-Row_Back.mp4;117583
Rematore un Braccio;One Arm Bent-over Row;Schiena;rematore-un-braccio;https://apilyfta.com/static/GymvisualPNG/02921101-Dumbbell-Bent-over-Row_back_Back-AFIX.png;https://apilyfta.com/static/GymvisualPNG/02921101-Dumbbell-Bent-over-Row_back_Back-AFIX_small.png;https://apilyfta.com/static/GymvisualMP4/02921201-Dumbbell-Bent-over-Row_Back-FIX_.mp4;117233
Curl un Braccio ai Cavi;Cable One Arm Biceps Curl ;Bicipiti;curl-un-braccio-ai-cavi;https://apilyfta.com/static/GymvisualPNG/26561101-Cable-One-Arm-Biceps-Curl-(VERSION-2)_Upper-Arms.png;https://apilyfta.com/static/GymvisualPNG/26561101-Cable-One-Arm-Biceps-Curl-(VERSION-2)_Upper-Arms_small.png;https://apilyfta.com/static/GymvisualMP4/26561201-Cable-One-Arm-Biceps-Curl-(VERSION-2)_Upper-Arms_.mp4;114062
Lat Machine;Pulldown;Schiena;lat-machine;https://apilyfta.com/static/GymvisualPNG/01981101-Cable-Pulldown_Back.png;https://apilyfta.com/static/GymvisualPNG/01981101-Cable-Pulldown_Back_small.png;https://apilyfta.com/static/GymvisualMP4/01981201-Cable-Pulldown_Back_.mp4;113143
Pec Deck alla Macchina;Lever Pec Deck Fly;Petto;pec-deck-alla-macchina;https://apilyfta.com/static/GymvisualPNG/10301101-Lever-Pec-Deck-Fly_Chest.png;https://apilyfta.com/static/GymvisualPNG/10301101-Lever-Pec-Deck-Fly_Chest_small.png;https://apilyfta.com/static/GymvisualMP4/10301201-Lever-Pec-Deck-Fly_Chest_.mp4;112958
Lat Machine;Pulldown;Schiena;lat-machine;https://apilyfta.com/static/GymvisualPNG/01971101-Cable-Pulldown-(pro-lat-bar)_Back.png;https://apilyfta.com/static/GymvisualPNG/01971101-Cable-Pulldown-(pro-lat-bar)_Back_small.png;https://apilyfta.com/static/GymvisualMP4/01971201-Cable-Pulldown-(pro-lat-bar)_Back_.mp4;111735
Alzate Frontali;Front Raise;Spalle;alzate-frontali;https://apilyfta.com/static/GymvisualPNG/03101101-Dumbbell-Front-Raise_Shoulders.png;https://apilyfta.com/static/GymvisualPNG/03101101-Dumbbell-Front-Raise_Shoulders_small.png;https://apilyfta.com/static/GymvisualMP4/03101201-Dumbbell-Front-Raise_Shoulders.mp4;107826
Crunch a Terra;Crunch Floor;Addominali;crunch-a-terra;https://apilyfta.com/static/GymvisualPNG/02741101-Crunch-Floor-m_waist.png;https://apilyfta.com/static/GymvisualPNG/02741101-Crunch-Floor-m_waist_small.png;https://apilyfta.com/static/GymvisualMP4/02741201-Crunch-Floor-(male)_waist.mp4;105509
Abduzione Anca da Seduto alla Macchina;Lever Seated Hip Abduction;Anche/Glutei;abduzione-anca-da-seduto-alla-macchina;https://apilyfta.com/static/GymvisualPNG/05971101-Lever-Seated-Hip-Abduction_Hips-FIX.png;https://apilyfta.com/static/GymvisualPNG/05971101-Lever-Seated-Hip-Abduction_Hips-FIX_small.png;https://apilyfta.com/static/GymvisualMP4/05971201-Lever-Seated-Hip-Abduction_Hips.mp4;104566
Pulley Basso Presa Stretta alla Macchina;Lever Narrow Grip Seated Row;Schiena;pulley-basso-presa-stretta-alla-macchina;https://apilyfta.com/static/GymvisualPNG/05881101-Lever-Narrow-Grip-Seated-Row-(plate-loaded)_Back.png;https://apilyfta.com/static/GymvisualPNG/05881101-Lever-Narrow-Grip-Seated-Row-(plate-loaded)_Back_small.png;https://apilyfta.com/static/GymvisualMP4/05881201-Lever-Neutral-Grip-Seated-Row-(plate-loaded)_Back_.mp4;104102
Estensioni Tricipiti ai Cavi Alti;High Pulley Overhead Tricep Extension;Tricipiti;estensioni-tricipiti-ai-cavi-alti;https://apilyfta.com/static/GymvisualPNG/17221101-Cable-High-Pulley-Overhead-Tricep-Extension_Upper-Arms.png;https://apilyfta.com/static/GymvisualPNG/17221101-Cable-High-Pulley-Overhead-Tricep-Extension_Upper-Arms_small.png;https://apilyfta.com/static/GymvisualMP4/17221201-Cable-High-Pulley-Overhead-Tricep-Extension_Upper-Arms.mp4;103998
Pushdown Tricipiti;Triceps Pushdown;Tricipiti;pushdown-tricipiti;https://apilyfta.com/static/GymvisualPNG/16051101-Cable-Triceps-Pushdown-(SZ-bar)_Upper-arms.png;https://apilyfta.com/static/GymvisualPNG/16051101-Cable-Triceps-Pushdown-(SZ-bar)_Upper-arms_small.png;https://apilyfta.com/static/GymvisualMP4/16051201-Cable-Triceps-Pushdown-(SZ-bar)_Upper-arms.mp4;99710
Hammer Curl;Hammer Curl;Bicipiti;hammer-curl;https://apilyfta.com/static/GymvisualPNG/03131101-Dumbbell-Hammer-Curl_Forearm.png;https://apilyfta.com/static/GymvisualPNG/03131101-Dumbbell-Hammer-Curl_Forearm_small.png;https://apilyfta.com/static/GymvisualMP4/03131201-Dumbbell-Hammer-Curl_Forearms_.mp4;99107
Alzate Laterali con Manubri;Dumbbell Lateral Raise;Spalle;alzate-laterali-con-manubri;https://apilyfta.com/static/GymvisualPNG/03341101-Dumbbell-Lateral-Raise_shoulder-AFIX.png;https://apilyfta.com/static/GymvisualPNG/03341101-Dumbbell-Lateral-Raise_shoulder-AFIX_small.png;https://apilyfta.com/static/GymvisualMP4/03341201-Dumbbell-Lateral-Raise_shoulder-FIX_.mp4;97140
Dip Petto;Chest Dip;Petto;dip-petto;https://apilyfta.com/static/GymvisualPNG/02511101-Chest-Dip_Chest.png;https://apilyfta.com/static/GymvisualPNG/02511101-Chest-Dip_Chest_small.png;https://apilyfta.com/static/GymvisualMP4/02511201-Chest-Dip_Chest.mp4;95904
Stacco da Terra;Deadlift;Anche/Glutei;stacco-da-terra;https://apilyfta.com/static/GymvisualPNG/00321101-Barbell-Deadlift_Hips-FIX.png;https://apilyfta.com/static/GymvisualPNG/00321101-Barbell-Deadlift_Hips-FIX_small.png;https://apilyfta.com/static/GymvisualMP4/00321201-Barbell-Deadlift_Hips-FIX.mp4;94741
Crunch Addominale Completo alla Macchina;Lever Total Abdominal Crunch;Addominali;crunch-addominale-completo-alla-macchina;https://apilyfta.com/static/GymvisualPNG/18571101-Lever-Total-Abdominal-Crunch_Waist.png;https://apilyfta.com/static/GymvisualPNG/18571101-Lever-Total-Abdominal-Crunch_Waist_small.png;https://apilyfta.com/static/GymvisualMP4/18571201-Lever-Total-Abdominal-Crunch_Waist.mp4;94471
Sollevamento Gambe alla Sedia del Capitano;Captains Chair Straight Leg Raise;Addominali;sollevamento-gambe-alla-sedia-del-capitano;https://apilyfta.com/static/GymvisualPNG/29631101-Captains-Chair-Straight-Leg-Raise_Waist.png;https://apilyfta.com/static/GymvisualPNG/29631101-Captains-Chair-Straight-Leg-Raise_Waist_small.png;https://apilyfta.com/static/GymvisualMP4/29631201-Captains-Chair-Straight-Leg-Raise_Waist.mp4;91428
Chest Press Inclinata alla Macchina;Lever Incline Chest Press;Petto;chest-press-inclinata-alla-macchina;https://apilyfta.com/static/GymvisualPNG/12991101-Leverage-Incline-Chest-Press_Chest.png;https://apilyfta.com/static/GymvisualPNG/12991101-Leverage-Incline-Chest-Press_Chest_small.png;https://apilyfta.com/static/GymvisualMP4/12991201-Lever-Incline-Chest-Press_Chest-FIX2_.mp4;88949
Crunch in Ginocchio ai Cavi;Cable Kneeling Crunch;Addominali;crunch-in-ginocchio-ai-cavi;https://apilyfta.com/static/GymvisualPNG/01751101-Cable-Kneeling-Crunch_Waist-FIX.png;https://apilyfta.com/static/GymvisualPNG/01751101-Cable-Kneeling-Crunch_Waist-FIX_small.png;https://apilyfta.com/static/GymvisualMP4/01751201-Cable-Kneeling-Crunch_Waist-FIX_.mp4;88520
Distensioni Spalle da Seduto con Manubri;Dumbbell Seated Shoulder Press;Spalle;distensioni-spalle-da-seduto-con-manubri;https://apilyfta.com/static/GymvisualPNG/04051101-Dumbbell-Seated-Shoulder-Press_Shoulders.png;https://apilyfta.com/static/GymvisualPNG/04051101-Dumbbell-Seated-Shoulder-Press_Shoulders_small.png;https://apilyfta.com/static/GymvisualMP4/04051201-Dumbbell-Seated-Shoulder-Press_Shoulders-FIX_.mp4;85484
Plank Frontale;Front Plank;Addominali;plank-frontale;https://apilyfta.com/static/GymvisualPNG/04631101-Front-Plank_waist-FIX.png;https://apilyfta.com/static/GymvisualPNG/04631101-Front-Plank_waist-FIX_small.png;https://apilyfta.com/static/GymvisualMP4/04631201-Front-Plank-m_waist.mp4;85117
Lento Avanti in Piedi con Bilanciere;Barbell Standing Military Press ;Spalle;lento-avanti-in-piedi-con-bilanciere;https://apilyfta.com/static/GymvisualPNG/11651101-Barbell-Standing-Military-Press-(without-rack)_Shoulders-FIX.png;https://apilyfta.com/static/GymvisualPNG/11651101-Barbell-Standing-Military-Press-(without-rack)_Shoulders-FIX_small.png;https://apilyfta.com/static/GymvisualMP4/11651201-Barbell-Standing-Military-Press-(without-rack)_Shoulders_without-weight.mp4;85106
